data,hora,taxa
2024/11/11,19:53:55,10.532863649005172
2024/11/11,19:53:57,10.917058253794655
2024/11/11,19:53:58,10.900822783403889
2024/11/11,19:53:59,10.462980025942281
2024/11/11,19:54:00,11.193208345199789
2024/11/11,19:54:01,11.091314095146354
2024/11/11,19:54:02,10.379675205273694
2024/11/11,19:54:03,10.549046737690663
2024/11/11,19:54:04,10.718745551715417
2024/11/11,19:54:05,10.54794276020567
2024/11/11,20:02:24,11.036886679520533
2024/11/11,20:02:25,10.354789395174235
2024/11/11,20:02:26,10.550950534440938
2024/11/11,20:02:27,10.97088373314356
2024/11/11,20:02:28,11.281149992259666
2024/11/11,20:02:29,11.18454398764121
2024/11/11,20:02:30,10.352448517761582
2024/11/11,20:02:31,10.345235891915731
2024/11/11,20:02:32,10.780840566127496
2024/11/11,20:02:33,11.115779138979796
